_meta_filepath,_meta_has_ufc_fights,_meta_is_active_ufc,_meta_scraped_at,_meta_total_fights,_meta_weight_class,basic_info_date_of_birth,basic_info_hometown,basic_info_name,basic_info_nationality,basic_info_nickname,fight_history_exhibition,fight_history_professional_count,fight_history_professional_draw_count,fight_history_professional_loss_count,fight_history_professional_nc_count,fight_history_professional_win_count,filename,gender,height,primary_division,profile_url,reach,record_summary_draws,record_summary_losses_decision_percentage,record_summary_losses_decisions,record_summary_losses_knockouts,record_summary_losses_ko_percentage,record_summary_losses_others,record_summary_losses_submission_percentage,record_summary_losses_submissions,record_summary_losses_total,record_summary_no_contests,record_summary_wins_decision_percentage,record_summary_wins_decisions,record_summary_wins_knockouts,record_summary_wins_ko_percentage,record_summary_wins_others,record_summary_wins_submission_percentage,record_summary_wins_submissions,record_summary_wins_total,scraped_at,weight
./data/khabib_nurmagomedov_56035.json,,,2025-04-13T15:35:59.544074,,Unknown,"Sep 20, 1988","Makhachkala, Dagestan",Khabib Nurmagomedov,Russia,The Eagle,[],29,0,0,0,29,khabib_nurmagomedov_56035.json,Male,"5'10""",Lightweight,https://www.sherdog.com/fighter/Khabib-Nurmagomedov-56035,"71""",0,0,0,0,0,0,0,0,0,0,34,10,8,27,0,37,11,29,2025-04-13T15:35:59.544074,155.0
./data/vladimir_shemarov_6623.json,,,2025-04-13T15:27:30.940854,,Unknown,"Sep 3, 1977","Horishni Plavni, Poltava Oblast",Vladimir Shemarov,Ukraine,,[],26,0,12,1,13,vladimir_shemarov_6623.json,Male,"5'11""",Heavyweight,https://www.sherdog.com/fighter/Vladimir-Shemarov-6623,"72""",0,41,5,6,50,0,8,1,12,1,23,3,3,23,1,46,6,13,2025-04-13T15:27:30.940854,230.0
./data/gadzhimurad_khiramagomedov_186927.json,,,2025-04-13T19:03:14.936626,,Unknown,"Aug 21, 1991",Moscow,Gadzhimurad Khiramagomedov,Russia,,[],20,0,6,0,14,gadzhimurad_khiramagomedov_186927.json,Male,"5'10""",Light Heavyweight,https://www.sherdog.com/fighter/Gadzhimurad-Khiramagomedov-186927,"71""",0,66,4,1,16,0,16,1,6,0,78,11,3,21,0,0,0,14,2025-04-13T19:03:14.936626,186.0
./data/daniel_watts_28212.json,,,2025-04-13T15:41:45.370437,,Unknown,"Sep 1, 1981","Biloxi, Mississippi",Daniel Watts,United States,,[],13,0,10,0,3,daniel_watts_28212.json,Male,"0'0""",Welterweight,https://www.sherdog.com/fighter/Daniel-Watts-28212,"1""",0,10,1,4,40,0,50,5,10,0,0,0,2,66,0,33,1,3,2025-04-13T15:41:45.370437,170.0
./data/damaso_pereira_30022.json,,,2025-04-13T17:32:42.831574,,Unknown,,"Curitiba, Parana",Damaso Pereira,Brazil,Dan Dan,[],8,0,6,0,2,damaso_pereira_30022.json,Male,"5'9""",Welterweight,https://www.sherdog.com/fighter/Damaso-Pereira-30022,"70""",0,66,4,2,33,0,0,0,6,0,50,1,1,50,0,0,0,2,2025-04-13T17:32:42.831574,160.0
./data/lina_lansberg_122387.json,True,False,2025-04-13T21:19:51.008790,18,Unknown,"Mar 13, 1982","Malmo, Scania",Lina Lansberg,Sweden,Elbow Queen,[],18,0,8,0,10,lina_lansberg_122387.json,Male,"5'7""",Bantamweight,https://www.sherdog.com/fighter/Lina-Lansberg-122387,"68""",0,50,4,3,37,0,12,1,8,0,60,6,4,40,0,0,0,10,2025-04-13T21:19:51.008790,135.0
./data/magomed_mustafaev_80231.json,True,False,2025-04-13T20:49:26.779374,17,Unknown,"Aug 2, 1988","Sochi, Krasnodar Krai",Magomed Mustafaev,Russia,,[],17,0,3,0,14,magomed_mustafaev_80231.json,Male,"5'9""",Lightweight,https://www.sherdog.com/fighter/Magomed-Mustafaev-80231,"70""",0,33,1,0,0,0,66,2,3,0,0,0,12,85,0,14,2,14,2025-04-13T20:49:26.779374,155.0
./data/kazuhiro_nakamura_6943.json,True,False,2025-04-13T20:18:15.870973,34,Unknown,"Jul 16, 1979","Fukuyama, Hiroshima",Kazuhiro Nakamura,Japan,King Kaz,[],34,0,13,0,21,kazuhiro_nakamura_6943.json,Male,"5'11""",Middleweight,https://www.sherdog.com/fighter/Kazuhiro-Nakamura-6943,"72""",0,46,6,4,30,0,23,3,13,0,61,13,5,23,0,14,3,21,2025-04-13T20:18:15.870973,185.0
./data/carlos_candelario_97453.json,True,False,2025-04-13T21:05:32.277180,11,Unknown,"Jun 4, 1991","New Britain, Connecticut",Carlos Candelario,United States,The Cannon,[],11,0,3,0,8,carlos_candelario_97453.json,Male,"5'7""",Bantamweight,https://www.sherdog.com/fighter/Carlos-Candelario-97453,"68""",0,66,2,0,0,0,33,1,3,0,37,3,2,25,0,37,3,8,2025-04-13T21:05:32.277180,129.0
./data/frank_kirmse_13312.json,,,2025-04-13T18:34:24.961047,,Unknown,"Apr 30, 1971",,Frank Kirmse,,,[],7,0,5,0,2,frank_kirmse_13312.json,Male,"0'0""",Welterweight,https://www.sherdog.com/fighter/Frank-Kirmse-13312,"1""",0,20,1,1,20,0,60,3,5,0,0,0,0,0,0,100,2,2,2025-04-13T18:34:24.961047,165.0
